logFC	PValue	gene	cko	con
-0.20431769304572572	0.6267579644956558	Scpep1	631	588
-0.1175960880031712	0.7764190106492129	Mnt	2599	2572
-0.6831028091050755	0.2884839655121367	Itgb2	24	16
-0.13059575346970953	0.7732415781091034	Hddc2	259	254
0.44691961619351145	0.619820092651577	Tpd52l1	15	22
0.3226401704037602	0.5604806037061206	Pemt	32	43
-2.0560156254368884	0.06376467809523387	Cdh1	12	3
0.21726898144676993	0.597501863767761	Cdh4	5859	7313
0.5403943935341933	0.2305972880149287	Ckmt1	121	189
-0.1625156839346913	0.7350302770050068	Bcl6b	147	141
-0.8259976652936397	0.5162923166619419	Alox12	10	6
-0.0100125968446498	0.9836678115330736	Comt	921	982
0.17914131352128318	0.6684286398461682	Rtca	960	1167
0.03581221949441683	0.936116945732064	Dbt	616	678
-0.03206085671329946	0.9387495260835136	Dazap2	3256	3419
0.0971341001456094	0.8211690265306433	Mcts1	613	704
0.1569179755954083	0.9999999999999988	Rem1	5	6
9.584426341621724e-4	0.9989831944056026	Trappc10	3227	3467
0.03152232663846038	0.9412670101878764	Ccm2	1335	1465
-0.04191571479830486	0.9220111318068132	Tbrg4	1072	1118
0.6242831329540502	0.5162923166619419	Mx1	6	10
0.1569179755954083	0.9999999999999988	Fap	5	6
0.7930335025890491	0.26276559982406994	Gcg	15	28
0.04393166619809156	0.9166345010633256	Ndufa9	1881	2082
0.25952304485598177	0.6077134349147179	Egfl6	56	72
-0.4781239692990744	0.31787522172259336	Lck	122	94
0.19468928113808892	0.6362842831834394	Cttnbp2	5149	6327
0.05614145443236581	0.8932958354491533	Galnt1	1789	1997
0.10918494492513744	0.7934274732620928	Mkrn2	1455	1685
0.0081291582947169	0.9846700053205788	Raf1	5983	6460
0.22279650608513393	0.6241757406948939	Septin1	162	203
0.4764376128494569	0.26375881681301877	Pdgfb	330	493
0.2485102094284378	0.5889768300953643	Acvrl1	156	199
-0.511021243140286	0.25029841670681247	Tamalin	231	174
0.04208271001706593	0.919078787361418	Acvr1b	4486	4959
-0.01123153545395466	0.979020800305846	Tom1l2	3398	3620
-0.1273058677701814	0.7608065850898683	Zfp385a	1233	1212
-0.3258501245603867	0.4461264321037848	Itga5	474	406
0.6641549556557127	0.12434109965298132	Gabra2	238	405
-0.01764512974522546	0.9682118892370944	Wdr77	1221	1295
0.13427728818805248	0.7446180801662351	Atp5pb	4322	5093
-0.3962887907072313	0.3368350336265512	Sox9	3881	3166
0.03676969335776917	0.928958788843753	Hnrnpd	8799	9691
-0.23904735292483323	0.5993824826909925	Dynlt1c	177	161
0.13575723945374002	0.7477621672962484	C1d	824	972
0.00820953534691725	0.9859281115117264	Gm2a	564	609
0.03226764117160018	0.9396169951608068	Krit1	1460	1603
0.18768593542655937	0.6486867424796255	Clcn4	4371	5345
0.2911459439750561	0.4892186502183995	Sema4f	631	829
-0.4091206953215664	0.32608275329053243	Hk2	1243	1005
0.04111971306301186	0.9205771699060912	Myo18a	8147	9000
-0.02384935529804322	0.9538086024396792	Sez6	17875	18877
0.03821019241304951	0.9999999999999996	Cd52	39	43
-0.3865669542254926	0.5430574709029968	Abhd15	39	32
0.3516817316842568	0.4478252206947846	Loxl3	108	148
-0.2337462086338896	0.5770732121063352	Kat2b	897	819
0.07705012479828938	0.8522004451185504	Rab5b	3538	4007
-1.094286210083464	0.13163276244394206	Icosl	24	12
0.10443525665364606	0.8042963963059119	Spg7	901	1040
0.877779858145458	0.4391010146339904	Sult5a1	4	8
-0.11368461252112752	0.781983444124656	Rpl13	15847	15725
